"filename", "language", "C++", "comment", "blank", "total"
"/home/sarthhak/coding projects/RaylibRoguelike/src/player.cpp", "C++", 8, 0, 0, 8
"/home/sarthhak/coding projects/RaylibRoguelike/src/timer.cpp", "C++", 10, 0, 8, 18
"/home/sarthhak/coding projects/RaylibRoguelike/src/timer.h", "C++", 4, 0, 1, 5
"Total", "-", 22, 0, 9, 31
