"filename", "language", "C++", "comment", "blank", "total"
"/home/sarthhak/coding projects/RaylibRoguelike/src/enemy.cpp", "C++", 0, 4, 0, 4
"/home/sarthhak/coding projects/RaylibRoguelike/src/player.cpp", "C++", 8, 0, 2, 10
"Total", "-", 8, 4, 2, 14
